product_id,product_name,product_description,category_id,category_name
39,iphone 7,"iphone 7
32GB
Fairly used but works perfectly
battery life at 85%",7,Mobile Phones
40,iphone 7,"iphone 7
32GB
Fairly used but works perfectly
battery life at 85%",7,Mobile Phones
41,"COUCH, SIDE SOFAS, SOFA SETS","A spot to sit with style to spare, this eye-catching arm chair is ready to bring a bit of the mid-century aesthetic to your living room. Founded atop four angled legs with a natural finish and features square arms. Its frame is crafted from high density wood particles. To clean, we recommend spot cleaning using a mild water-free cleaning solvent.",18,Table
42,5 place Sofa,This  3 seat couch and a 2 seat couch will give a rather unique look to to your seating room,18,Table
43,Titan TV Stand,"We like the rustic look of this TV cabinet reinterpreted in a resolutely modern style. Its classic lines blend elegantly with all styles of interiors, whether contemporary or more traditional. With its large storage capacity, this TV cabinet is designed for a screen up to 43 inches. Delivered in kitt, this TV cabinet is composed of a niche with a wooden shelf and 2 sliding panels. Its easy assembly will allow you to enjoy it very quickly. To help you assemble it, this TV cabinet made of medium density fibreboard comes with an explanatory leaflet and the appropriate screws and bolts.

To cater for your furniture on a daily basis, dust it with a lint-free cotton cloth.",18,Table
44,TV Cabinet,"This light brown TV cabinet brings a modern and soft charm to your living room. A true space organiser, this wall-mounted TV cabinet supports all the devices and the Blu-ray collection you want to carefully arrange. With this modern TV cabinet, you are sure to compose an aesthetic and design decoration. The Senseçao TV cabinet will surprise you. Wide and sturdy, it is ideal for large spaces, making it the main attraction of your room. Composed of a functional structure, it contains 1 door, 1 drawer, 3 niches and 3 shelves, two of which are made of glass and one of which is wide and with a divider. Ideal for electronics, sound box, among other items of preference. Ensure organization, convenience and comfort, to make moments with family and friends even more special.

Made in France, this TV cabinet with niches and cupboards has many niches, shelves and other very convenient cupboards for storing appliances, turntables, Blu-ray and video games. The back of the niches is left empty or equipped with a cable pass. This TV cabinet dimensions W. 200 x H. 212,5 x D. 41,5 cm can accommodate a 50 "" TV.",18,Table
46,Macbook pro 13 2019,"Condition:	
Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. 
Colour:	Grey
Release Year:	2019	Brand:	Apple
Model:	MacBook Pro	Processor:	Intel i5
Features:	Touch Bar	Screen Size:	13 in
SSD Capacity:	128 GB       Ram: 8GB",8,Computers
47,Bed Cover,"This comprises a pair of pillow case, a bed spread and a bed sheet. It has as dimensions 180X200cm.",19,Bed
48,Dual Color Bed Sheet LI-E02,"This set blue and orange in color comprises a pair of pillow case, a bed spread and a bed sheet. It has as dimensions 200X200cm.",19,Bed
49,Bed PACK,"This pack includes a headboard, a wind chest made up of synthetic leather having a length of 190 cm and a width of 140 cm and an orthopedic mattress with dimensions (19X14X18) cm.",19,Bed
